Chronologic VCS simulator copyright 1991-2014
Contains Synopsys proprietary information.
Compiler version I-2014.03-2; Runtime version I-2014.03-2;  Apr  6 14:35 2019
VCD+ Writer I-2014.03-2 Copyright (c) 1991-2014 by Synopsys Inc.
Time 	rst 	clk 	r 	a 	q0 	q1 	q2 	q3 	clk9

   0 	1 	0 	1 	0 	0 	0 	0 	0 	0
5000 	0 	1 	0 	0 	0 	0 	0 	0 	0
10000 	0 	0 	0 	0 	0 	0 	0 	0 	0
15000 	0 	1 	0 	0 	1 	0 	0 	0 	0
20000 	0 	0 	0 	0 	1 	0 	0 	0 	0
25000 	0 	1 	0 	0 	0 	1 	0 	0 	0
30000 	0 	0 	0 	0 	0 	1 	0 	0 	0
35000 	0 	1 	0 	0 	1 	1 	0 	0 	0
40000 	0 	0 	0 	0 	1 	1 	0 	0 	0
45000 	0 	1 	0 	0 	0 	0 	1 	0 	0
50000 	0 	0 	0 	0 	0 	0 	1 	0 	0
55000 	0 	1 	0 	0 	1 	0 	1 	0 	0
60000 	0 	0 	0 	0 	1 	0 	1 	0 	0
65000 	0 	1 	0 	0 	0 	1 	1 	0 	0
70000 	0 	0 	0 	0 	0 	1 	1 	0 	0
75000 	0 	1 	0 	0 	1 	1 	1 	0 	0
80000 	0 	0 	0 	0 	1 	1 	1 	0 	0
85000 	0 	1 	0 	0 	0 	0 	0 	1 	1
90000 	0 	0 	0 	0 	0 	0 	0 	1 	1
95000 	0 	1 	0 	0 	0 	0 	0 	0 	0
100000 	0 	0 	0 	0 	0 	0 	0 	0 	0
105000 	0 	1 	0 	0 	1 	0 	0 	0 	0
110000 	0 	0 	0 	0 	1 	0 	0 	0 	0
115000 	0 	1 	0 	0 	0 	1 	0 	0 	0
120000 	0 	0 	0 	0 	0 	1 	0 	0 	0
125000 	0 	1 	0 	0 	1 	1 	0 	0 	0
130000 	0 	0 	0 	0 	1 	1 	0 	0 	0
135000 	0 	1 	0 	0 	0 	0 	1 	0 	0
140000 	0 	0 	0 	0 	0 	0 	1 	0 	0
145000 	0 	1 	0 	0 	1 	0 	1 	0 	0
150000 	0 	0 	0 	0 	1 	0 	1 	0 	0
155000 	0 	1 	0 	0 	0 	1 	1 	0 	0
160000 	0 	0 	0 	0 	0 	1 	1 	0 	0
165000 	0 	1 	0 	0 	1 	1 	1 	0 	0
170000 	0 	0 	0 	0 	1 	1 	1 	0 	0
175000 	0 	1 	0 	0 	0 	0 	0 	1 	1
180000 	0 	0 	0 	0 	0 	0 	0 	1 	1
185000 	0 	1 	0 	0 	0 	0 	0 	0 	0
190000 	0 	0 	0 	0 	0 	0 	0 	0 	0
195000 	0 	1 	0 	0 	1 	0 	0 	0 	0
200000 	0 	0 	0 	0 	1 	0 	0 	0 	0
205000 	0 	1 	0 	0 	0 	1 	0 	0 	0
210000 	0 	0 	0 	0 	0 	1 	0 	0 	0
215000 	0 	1 	0 	0 	1 	1 	0 	0 	0
220000 	0 	0 	0 	0 	1 	1 	0 	0 	0
225000 	0 	1 	0 	0 	0 	0 	1 	0 	0
230000 	0 	0 	0 	0 	0 	0 	1 	0 	0
235000 	0 	1 	0 	0 	1 	0 	1 	0 	0
240000 	0 	0 	0 	0 	1 	0 	1 	0 	0
245000 	0 	1 	0 	0 	0 	1 	1 	0 	0
250000 	0 	0 	0 	0 	0 	1 	1 	0 	0
255000 	0 	1 	0 	0 	1 	1 	1 	0 	0
260000 	0 	0 	0 	0 	1 	1 	1 	0 	0
265000 	0 	1 	0 	0 	0 	0 	0 	1 	1
270000 	0 	0 	0 	0 	0 	0 	0 	1 	1
275000 	0 	1 	0 	0 	0 	0 	0 	0 	0
280000 	0 	0 	0 	0 	0 	0 	0 	0 	0
285000 	0 	1 	0 	0 	1 	0 	0 	0 	0
290000 	0 	0 	0 	0 	1 	0 	0 	0 	0
295000 	0 	1 	0 	0 	0 	1 	0 	0 	0
300000 	0 	0 	0 	0 	0 	1 	0 	0 	0
305000 	0 	1 	0 	0 	1 	1 	0 	0 	0
310000 	0 	0 	0 	0 	1 	1 	0 	0 	0
315000 	0 	1 	0 	0 	0 	0 	1 	0 	0
320000 	0 	0 	0 	0 	0 	0 	1 	0 	0
325000 	0 	1 	0 	0 	1 	0 	1 	0 	0
330000 	0 	0 	0 	0 	1 	0 	1 	0 	0
335000 	0 	1 	0 	0 	0 	1 	1 	0 	0
340000 	0 	0 	0 	0 	0 	1 	1 	0 	0
345000 	0 	1 	0 	0 	1 	1 	1 	0 	0
350000 	0 	0 	0 	0 	1 	1 	1 	0 	0
355000 	0 	1 	0 	0 	0 	0 	0 	1 	1
360000 	0 	0 	0 	0 	0 	0 	0 	1 	1
365000 	0 	1 	0 	0 	0 	0 	0 	0 	0
370000 	0 	0 	0 	0 	0 	0 	0 	0 	0
375000 	0 	1 	0 	0 	1 	0 	0 	0 	0
380000 	0 	0 	0 	0 	1 	0 	0 	0 	0
385000 	0 	1 	0 	0 	0 	1 	0 	0 	0
390000 	0 	0 	0 	0 	0 	1 	0 	0 	0
395000 	0 	1 	0 	0 	1 	1 	0 	0 	0
400000 	0 	0 	0 	0 	1 	1 	0 	0 	0
405000 	0 	1 	0 	0 	0 	0 	1 	0 	0
410000 	0 	0 	0 	0 	0 	0 	1 	0 	0
415000 	0 	1 	0 	0 	1 	0 	1 	0 	0
420000 	0 	0 	0 	0 	1 	0 	1 	0 	0
425000 	0 	1 	0 	0 	0 	1 	1 	0 	0
430000 	0 	0 	0 	0 	0 	1 	1 	0 	0
435000 	0 	1 	0 	0 	1 	1 	1 	0 	0
440000 	0 	0 	0 	0 	1 	1 	1 	0 	0
445000 	0 	1 	0 	0 	0 	0 	0 	1 	1
450000 	0 	0 	0 	0 	0 	0 	0 	1 	1
455000 	0 	1 	0 	0 	0 	0 	0 	0 	0
460000 	0 	0 	0 	0 	0 	0 	0 	0 	0
465000 	0 	1 	0 	0 	1 	0 	0 	0 	0
